ar,de,غدا أيضا؟,morgen wieder raus?,rad'ön'aydan؟,ستخرجين <em>غدًا أيضًا؟</em>,Fahrt ihr <em>morgen wieder raus?</em>,,
ar,de,ولكن,aber,wala-kien,لا يعرف بذلك، <em>ولكن</em> كان يجب أن أفعل شيء.,"Er weiß es nicht, <em class=""both"">aber</em> ich musste etwas tun.",,
ar,de,هل انتهيت؟,sind Sie fertig?,"hässänaen ,hal āntä haytu ?",حسنا <em>هل انتهيت ؟</em>,"OK, <em>sind Sie fertig?</em>",,
ar,de,نحن نبدأ,Wir fangen,nachnu naebda min..,<em>نحن نبدأ</em> من جديد,"<em class=""both"">Wir fangen</em> neu an.",,
ar,de,أجلب,Bring,äzhlib,<em>أجلب</em> لي بعض الماء من فضلك.,<em>Bring</em> mir bitte ein Glas Wasser.,,
ar,de,اليوم هناك الكثير جدا,Heute gibt es so viele," al-yawm hunāk alkaṯī jidn",,,,
ar,de,كويس,gut,,,,,
ar,de,فِي كُلّ وَقْت,immer,Zu jeder Zeit,,,,
ar,de,نشكر الله، كتير منيح,"Gott sei Dank, Katir.",mnii-'chh,,,,
ar,de,متأخر,spät,muta'achir,,,,
ar,de,غير,das,Reighr'u,بعد ذلك، لن يكون <em>غير</em> د.,Vorher werde ich <em>das</em> Passwort <em>ändern</em>.,,
ar,de,أنا تحقق من ذلك,Ich sehe es mir an.,Änä yäjib än ättä-äkkaet min..,,,,
ar,de,أعطى,geben,awti,,,,
ar,de,قَلِيلاً,ein wenig,qali-naen,,,,
ar,de,هل أنتَ بخير؟,alles in Ordnung?,Änä yäjib än ättä-äkkaet min -überprüfen (t)ätä-zäkae -erinnern   änä naasit-vegessen habe,,,,
ar,de,اَلآنَ,jetzt,äl-äaen,,,,
ar,de,بعيد,weit,[ba-ied],,,,
ar,de,هل هذه كل,Sind das alle,Häl häetha kul..,<em>هل هذه كل</em> أشيائها؟,<em>Sind das alle</em> ihre Sachen?,,
ar,de,العودة,zurückgehen,ya-oud,عليك الآن <em>العودة</em> لغرفتك، فلديّ أمور لأفعلها.,"Im Moment musst du in dein Zimmer <em class=""both"">zurückgehen</em>.",,
ar,de,ها هي,hier ist,hä hia        هناكَ  <=там,"على أية حال, <em>ها هي</em> وصفتك.","Wie dem auch sei, <em class=""both"">hier ist</em> Ihre Arznei.",,
ar,de,قالَتْ أنَّ ...,"gesagt hat, dass...",,لأنها <em>قالت أن...</em>,"Weil sie <em>gesagt hat, dass...</em>",,
ar,de,يسأل,fragen,yä-saal,قالت أمه أن عليه أن <em>يسأل</em> والده,"Die sagt, er soll seinen Dad <em class=""both"">fragen</em>.",,
ar,de,الطَّاوِلَةِ,Tisch,tawil,تحت <em>الطاولة</em>، هناك بعض العلب.,"Unterm <em class=""both"">Tisch</em> sind ein paar Kisten.",,
ar,de,رايت,gesehen,ra-ayrra,ظننت باني <em>رأيت</em> شيئا في حديقتي الخلفية.,"Dachte, ich hätte etwas in meinem Garten <em class=""both"">gesehen</em>.",,
ar,de,يقول,sagen,jaw-quul,أنا أكره عندما <em>يقول</em> الناس ذلك.,"Ich hasse es, wenn Leute das <em class=""both"">sagen</em>.",,
ar,de,"ينهي  
",beendet,"Yon-hi                                 :änä achtörch ela an ""o-ray-ji'r""..  ämäm vor, zhäälf hinter,tdacht unter, bijäneb' neben ashurfa auf","<em>ينهي  
</em>",<em>beendet</em>,,
ar,de,سائق,Fahrer,sa-eeq,لديّ سيارات أجرة كثيرة، ولكن لا يوجد <em>سائقون</em>.,"Ich habe so viele Taxis, nur keine <em class=""both"">Fahrer</em>.",,
ar,de,أراد,er wollte,.أردت. أراد      arad/arat,، لو أنّكِ تُريدين تقديم المُساعدةفقومي بفعل ما <em>أراد</em> منكِ.,"Wenn Sie helfen wollen, sollten Sie tun, was <em class=""both"">er wollte</em>.",,
ar,de,"أنت لازم تَضْغَطُ إلى ""xxx"".",Sie müssen xxx drücken.,Äntä lazem tadrath ela ..,,,,
ar,de,أنا أفعل ذلك فَوْراً.,Ich mache es sofort.,Änäʾee-afl dhalik fawraan.,,,,
ar,de,هل هذه كل,sind das alle,Häl häetha kul..,<em>هل هذه كل</em> أشيائها؟,"<em class=""both"">Sind das alle</em> ihre Sachen?",,
ar,de,أنه,dass er,,حسنا، أنا متأكد <em>أنه</em> يعتقد هذا.,"Er denkt sicher, <em class=""both"">dass er</em> das tat.",,
ar,de,هُنَا فوقَ,Hier oben,huna fawqa,"<em>هنا فوق</em>, (سونيا)","<em>Hier oben</em>, Sonja!",,
ar,de,غَداً,morgen,ra-däwn,يجب أن ينتظر ليهرب من العدالة حتى <em>غداً</em>.,"Seine Flucht muss bis <em class=""both"">morgen</em> warten.",,
ar,de,فَوْراً,sofort,fauw-ra,أرجوك، لا بد أن أرى الطبيب بيرغ <em>فوراً</em>.,"Ich muss <em class=""both"">sofort</em> Dr. Berg sehen, bitte.",,
ar,de,لاحقاً,später,lāḥiqan,أجل، سنتحدث بهذا الشأن <em>لاحقاً</em>.,"Ja, wir reden <em class=""both"">später</em> darüber.",,
ar,de,ذهبَتْ,ging ich,dätäb,<em>وذهبت</em> إلى المدرسة في اليوم التالي.,Am nächsten Tag <em>ging ich</em> zur Schule.,,
ar,de,مُنْذُ,seit,minthun,لم يظهر لي سوي الأحترام <em>منذ</em> مجيئي هنا.,"Er hat mich gut behandelt, <em class=""both"">seit</em> ich da bin.",,
ar,de,يكرر,wiederholen,,هَلْ يُمْكِنُ أَنْ <em>يُكرّرَ</em> ذلك؟,"Könnten Sie das <em class=""both"">wiederholen</em>?",,
ar,de,كل شئ.,alles.,kulu sh'i,حسناً، ليس هذا <em>كل شئ.</em>,"Naja, das ist nicht <em class=""both"">alles.</em>",,
ar,de,قُرْبَ,in der Nähe,qurba,انا لم اذهب مطلقا <em>قرب</em> المكان.,"Ich war nicht mal <em class=""both"">in der Nähe</em>.",,
